sp_id,stco,latitude,longitude
450064577,6075,37.7425474,-122.4757511
450083990,6075,37.77091,-122.404797
450150297,6075,37.780831,-122.490102
450075127,6075,37.7280905,-122.4475121
450061695,6075,37.7644508,-122.4280311
450083456,6075,37.783129,-122.437739
450138038,6075,37.731044,-122.483559
450154276,6075,37.725815,-122.432624
450079242,6075,37.78003,-122.435434
450065927,6075,37.7499532,-122.3943868
450066560,6075,37.7907103,-122.4453088
450154393,6075,37.763967,-122.430768
450066831,6075,37.7577228,-122.4066646
450078731,6075,37.719997,-122.425502
450114593,6075,37.794905,-122.404146
450058955,6075,37.7498811,-122.422484
450151083,6075,37.780171,-122.445755
450063772,6075,37.7827909,-122.469263
450122590,6075,37.740659,-122.425596
450132168,6075,37.797323,-122.411105
450121266,6075,37.719265,-122.406737
450104976,6075,37.747259,-122.481322
450066556,6075,37.7780748,-122.4467207
450074905,6075,37.726107,-122.4642096
450128254,6075,37.759148,-122.43634
450148120,6075,37.737142,-122.413174
450061348,6075,37.7872929,-122.4364055
450076007,6075,37.7927248,-122.391907
450085020,6075,37.753715,-122.419745
450131966,6075,37.749543,-122.431754
450132329,6075,37.763555,-122.476359
450066558,6075,37.7690996,-122.422421
450069019,6075,37.7515742,-122.4238295
450109018,6075,37.775856,-122.406742
450075226,6075,37.7349254,-122.4738802
450054432,6075,37.7381,-122.48621
450130233,6075,37.753715,-122.419745
450131904,6075,37.721993,-122.443314
450072156,6075,37.788358,-122.4270925
450124061,6075,37.776283,-122.464018
450057068,6075,37.7813124,-122.4387168
450056631,34035,0,0
450051589,6075,37.7921132,-122.4133918
450055724,6075,37.7755118,-122.4218095
450144086,6075,37.77431,-122.450324
450133445,6075,37.719997,-122.425502
450068324,6075,37.7394666,-122.4739353
450053300,6075,37.7271102,-122.4352993
450125754,6075,37.733107,-122.436088
450127184,6075,37.710438,-122.434416
450154275,6075,37.775386,-122.484332
450124987,6075,37.8018,-122.406734
450114898,6075,37.803192,-122.443502
450104860,6075,37.751425,-122.497022
450140512,6075,37.767229,-122.436594
450066554,6075,37.7098972,-122.4479978
450072664,6075,37.8002837,-122.4564363
450116024,6075,37.731881,-122.470965
450121115,6075,37.728,-122.407332
450125333,6075,37.783947,-122.464567
450137697,6075,37.71046,-122.447692
450124000,6075,37.758154,-122.502495
450153794,6075,37.745874,-122.449984
450054681,6075,37.7156979,-122.4345079
450066559,6075,37.7324792,-122.4116831
450062605,6075,37.7329109,-122.3917811
450064266,6081,37.7053781,-122.4608602
450141906,6075,37.739309,-122.450214
450066251,6075,37.7834035,-122.4235298
450066968,23015,0,0
450107586,6075,37.722073,-122.439853
450126568,6075,37.763858,-122.450526
450114594,6075,37.769464,-122.444292
450106012,6075,37.753675,-122.438734
450133033,6075,37.79831,-122.403175
450133243,6075,37.716168,-122.466259
450114071,6075,37.731779,-122.39355
450135274,6075,37.730603,-122.486151
450111066,6075,37.755257,-122.408529
450054414,6075,37.791079,-122.4063142
450141934,6075,37.742282,-122.431061
450080791,6075,37.777326,-122.401934
450059792,6075,37.7307165,-122.4752832
450114949,6075,37.752989,-122.456111
450130859,6075,37.775392,-122.434461
450122309,6075,37.763667,-122.428581
450151358,6075,37.789726,-122.419215
450068951,6075,37.7496224,-122.495601
450139356,6075,37.801671,-122.43636
450118724,6075,37.739964,-122.481857
450067576,6075,37.71179,-122.40509
450076078,6075,37.7792979,-122.467594
450139603,6075,37.766679,-122.419099
450066561,6075,37.7907605,-122.4416649
450148741,6075,37.720698,-122.405071
450105633,6075,37.759405,-122.469314
450126158,6075,37.793981,-122.408687
450125339,6075,37.756242,-122.412303
450080792,6075,37.77717,-122.40214
