sp_id,sp_gq_id,age,sex
936680816,450004025,23,F
936680815,450004025,21,F
936680814,450004025,18,F
936680813,450004025,21,F
936680812,450004025,19,F
936680811,450004025,21,F
936680810,450004025,19,F
936680667,450004025,19,M
936680668,450004025,21,M
936680669,450004025,19,M
936680670,450004025,19,M
936680671,450004025,23,M
936680672,450004025,20,M
936680673,450004025,20,M
936680674,450004025,22,M
936680675,450004025,18,M
936680676,450004025,24,M
936680677,450004025,18,M
936680678,450004025,23,M
936680679,450004025,18,M
936680680,450004025,19,M
936680681,450004025,21,M
936680682,450004025,22,M
936680683,450004025,19,M
936680684,450004025,19,M
936680685,450004025,18,M
936680686,450004025,25,M
936680687,450004025,21,M
936680688,450004025,21,M
936680689,450004025,19,M
936680690,450004025,18,M
936680691,450004025,18,M
936680692,450004025,21,M
936680693,450004025,23,M
936680694,450004025,32,M
936680721,450004025,22,M
936680722,450004025,20,M
936680723,450004025,19,M
936680724,450004025,22,M
936680725,450004025,19,M
936680726,450004025,21,M
936680727,450004025,29,M
936680728,450004025,19,M
936680729,450004025,20,M
936680730,450004025,18,M
936680731,450004025,19,M
936680732,450004025,20,M
936680733,450004025,24,M
936680734,450004025,19,M
936680809,450004025,19,F
936680808,450004025,21,F
936680807,450004025,24,F
936680806,450004025,19,F
936680805,450004025,21,F
936680804,450004025,19,F
936680803,450004025,18,F
936680802,450004025,22,F
936680801,450004025,20,F
936680800,450004025,20,F
936680799,450004025,19,F
936680798,450004025,20,F
936680797,450004025,22,M
936680796,450004025,19,M
936680795,450004025,19,M
936680794,450004025,34,M
936680793,450004025,19,M
936680792,450004025,19,M
936680791,450004025,18,M
936680790,450004025,19,M
936680789,450004025,21,M
936680788,450004025,24,M
936680787,450004025,19,M
936680786,450004025,19,M
936680785,450004025,20,M
936680784,450004025,19,M
936680783,450004025,22,M
936680782,450004025,20,M
936680735,450004025,22,M
936680736,450004025,20,M
936680737,450004025,22,M
936680738,450004025,24,M
936680739,450004025,19,M
936680740,450004025,19,M
936680741,450004025,19,M
936680742,450004025,23,M
936680743,450004025,23,M
936680695,450004025,19,M
936680696,450004025,18,M
936680697,450004025,18,M
936680698,450004025,19,M
936680699,450004025,20,M
936680700,450004025,19,M
936680701,450004025,22,M
936680702,450004025,18,M
936680703,450004025,23,M
936680704,450004025,23,M
936680705,450004025,21,M
936680653,450004025,18,M
936680652,450004025,20,M
936680651,450004025,19,M
936680650,450004025,22,M
936680706,450004025,21,M
936680707,450004025,24,M
936680754,450004025,20,M
936680755,450004025,18,M
936680756,450004025,21,M
936680757,450004025,19,M
936680758,450004025,25,M
936680759,450004025,18,M
936680760,450004025,24,M
936680761,450004025,18,M
936680762,450004025,20,M
936680716,450004025,21,M
936680763,450004025,21,M
936680764,450004025,21,M
936680765,450004025,23,M
936680766,450004025,18,M
936680767,450004025,19,M
936680768,450004025,22,M
936680769,450004025,19,M
936680770,450004025,23,M
936680771,450004025,18,M
936680772,450004025,18,M
936680773,450004025,19,M
936680774,450004025,18,M
936680775,450004025,19,M
936680781,450004025,18,M
936680780,450004025,19,M
936680779,450004025,21,M
936680778,450004025,21,M
936680777,450004025,19,M
936680776,450004025,24,M
936680654,450004025,18,M
936680655,450004025,24,M
936680656,450004025,23,M
936680657,450004025,18,M
936680658,450004025,19,M
936680659,450004025,18,M
936680660,450004025,19,M
936680661,450004025,23,M
936680662,450004025,22,M
936680663,450004025,19,M
936680664,450004025,22,M
936680665,450004025,18,M
936680666,450004025,28,M
936680836,450004025,19,F
936680835,450004025,20,F
936680834,450004025,22,F
936680833,450004025,18,F
936680832,450004025,21,F
936680831,450004025,19,F
936680830,450004025,20,F
941482291,450013382,21,M
941482344,450013383,42,F
941482342,450013383,37,F
941482343,450013383,22,F
941482292,450013383,33,F
941482345,450013383,30,F
941482346,450013383,28,F
941482347,450013383,40,F
941482348,450013383,29,F
941482349,450013383,32,F
941482352,450013383,38,F
941482351,450013383,38,F
941482369,450013383,76,F
941482373,450013383,76,F
941482374,450013383,69,F
941482376,450013383,71,F
941482377,450013383,70,F
941482330,450013383,51,F
941482378,450013383,74,F
941482335,450013383,28,F
941482334,450013383,48,F
941482333,450013383,31,F
941482332,450013383,23,F
941482350,450013383,34,F
941482331,450013383,41,F
941482370,450013383,76,F
941482371,450013383,83,F
941482315,450013383,30,F
941482316,450013383,28,F
941482317,450013383,28,F
941482367,450013383,71,F
941482368,450013383,66,F
941482314,450013383,44,F
941482313,450013383,42,F
941482312,450013383,35,F
941482311,450013383,41,F
941482310,450013383,53,F
941482309,450013383,23,F
941482308,450013383,28,F
941482307,450013383,54,F
941482306,450013383,41,F
941482305,450013383,27,F
941482304,450013383,22,F
941482303,450013383,19,F
941482302,450013383,32,F
941482301,450013383,42,F
941482300,450013383,45,F
941482299,450013383,38,F
941482298,450013383,44,F
941482297,450013383,38,F
941482296,450013383,37,F
941482295,450013383,34,F
941482294,450013383,30,F
941482318,450013383,24,F
941482319,450013383,25,F
941482320,450013383,39,F
941482321,450013383,43,F
941482322,450013383,38,F
941482323,450013383,36,F
941482324,450013383,49,F
941482372,450013383,74,F
941482325,450013383,22,F
941482293,450013383,25,F
941482326,450013383,38,F
941482366,450013383,43,F
941482365,450013383,41,F
941482364,450013383,38,F
941482363,450013383,40,F
941482362,450013383,54,F
941482361,450013383,44,F
941482360,450013383,51,F
941482359,450013383,39,F
941482358,450013383,53,F
941482357,450013383,39,F
941482356,450013383,38,F
941482355,450013383,43,F
941482354,450013383,25,F
941482353,450013383,31,F
941482327,450013383,33,F
941482328,450013383,27,F
941482329,450013383,35,F
941482375,450013383,77,F
941482336,450013383,47,F
941482337,450013383,47,F
941482338,450013383,26,F
941482339,450013383,64,F
941482340,450013383,45,F
941482341,450013383,21,F
936681720,450004026,23,M
936681719,450004026,19,M
936681718,450004026,24,M
936681717,450004026,19,M
936681716,450004026,24,M
936681715,450004026,23,M
936681714,450004026,18,M
936681713,450004026,18,M
936681723,450004026,20,F
936681724,450004026,19,F
936681725,450004026,19,F
936681726,450004026,23,F
936681727,450004026,21,F
936681728,450004026,23,F
936681729,450004026,22,F
936681740,450004026,19,F
936681722,450004026,19,F
936681730,450004026,18,F
936681731,450004026,27,F
936681732,450004026,22,F
936681733,450004026,24,F
936681734,450004026,22,F
936681735,450004026,20,F
936681736,450004026,21,F
936681737,450004026,21,F
936681739,450004026,28,F
936681738,450004026,18,F
936681721,450004026,19,F
936681977,450004027,19,F
936681741,450004027,17,M
936681742,450004027,20,M
936681743,450004027,22,M
936681744,450004027,18,M
936681745,450004027,18,M
936681746,450004027,24,M
936681747,450004027,22,M
936681748,450004027,30,M
936681749,450004027,19,M
936681750,450004027,23,M
936681751,450004027,18,M
936681752,450004027,18,M
936681753,450004027,21,M
936681754,450004027,18,M
936681755,450004027,18,M
936681756,450004027,18,M
936681757,450004027,18,M
936681758,450004027,32,M
936681759,450004027,24,M
936681760,450004027,19,M
936681761,450004027,18,M
936681762,450004027,19,M
936681763,450004027,37,M
936681764,450004027,19,M
936681765,450004027,21,M
936681766,450004027,20,M
936681767,450004027,20,M
936681768,450004027,19,M
936681769,450004027,22,M
936681770,450004027,21,M
936681771,450004027,20,M
936681772,450004027,19,M
936681773,450004027,20,M
936681774,450004027,19,M
936681775,450004027,24,M
936681776,450004027,23,M
936681777,450004027,22,M
936681778,450004027,19,M
936681779,450004027,22,M
936681780,450004027,19,M
936681781,450004027,18,M
936681782,450004027,19,M
936681783,450004027,24,M
936681784,450004027,23,M
936681785,450004027,21,M
936681786,450004027,24,M
936681787,450004027,20,M
936681788,450004027,19,M
936681789,450004027,21,M
936681790,450004027,19,M
936681791,450004027,19,M
936681792,450004027,23,M
936681793,450004027,28,M
936681794,450004027,39,M
936681795,450004027,21,M
936681796,450004027,21,M
936681797,450004027,18,M
936681798,450004027,19,M
936681799,450004027,21,M
936681800,450004027,22,M
936681801,450004027,19,M
936681802,450004027,21,M
936681803,450004027,22,M
936681804,450004027,36,M
936681805,450004027,23,M
936681806,450004027,18,M
936681807,450004027,19,M
936681808,450004027,18,M
936681809,450004027,18,M
936681810,450004027,25,M
936681811,450004027,24,M
936681812,450004027,20,M
936681813,450004027,43,M
936681814,450004027,19,M
936681815,450004027,19,M
936681816,450004027,18,M
936681817,450004027,19,M
936681818,450004027,23,M
936681819,450004027,18,M
936681820,450004027,19,M
936681821,450004027,24,M
936681822,450004027,18,M
936681823,450004027,19,M
936681824,450004027,21,M
936681825,450004027,18,M
936681826,450004027,21,M
936681827,450004027,36,M
936681828,450004027,20,M
936681829,450004027,21,M
936681830,450004027,19,M
936681831,450004027,19,M
936681832,450004027,19,M
936681833,450004027,22,M
936681834,450004027,19,M
936681835,450004027,19,M
936681836,450004027,19,M
936681837,450004027,18,M
936681838,450004027,24,M
936681839,450004027,19,M
936681840,450004027,21,M
936681841,450004027,23,M
936681842,450004027,23,M
936681843,450004027,20,M
936681844,450004027,20,M
936681845,450004027,21,M
936681846,450004027,20,M
936681847,450004027,22,M
936681848,450004027,20,M
936681849,450004027,19,M
936681850,450004027,18,M
936681851,450004027,19,M
936681852,450004027,23,M
936681853,450004027,19,M
936681854,450004027,21,M
936681855,450004027,18,M
936681856,450004027,19,M
936681857,450004027,19,M
936681858,450004027,19,M
936681859,450004027,21,M
936681860,450004027,24,M
936681861,450004027,21,M
936681862,450004027,22,M
936681863,450004027,22,M
936681864,450004027,21,M
936681865,450004027,23,M
936681866,450004027,20,M
936681867,450004027,19,M
936681868,450004027,20,M
936681869,450004027,19,M
936681870,450004027,21,M
936681871,450004027,23,M
936681872,450004027,19,M
936681873,450004027,20,M
936681874,450004027,18,M
936681875,450004027,24,M
936681876,450004027,34,M
936681877,450004027,20,M
936681878,450004027,18,M
936681879,450004027,19,M
936681880,450004027,18,M
936681881,450004027,38,M
936681882,450004027,24,M
936681883,450004027,29,M
936681884,450004027,19,M
936681885,450004027,19,M
936681886,450004027,20,M
936681887,450004027,24,M
936681888,450004027,20,M
936681889,450004027,18,M
936681890,450004027,19,M
936681891,450004027,19,M
936681892,450004027,17,F
936681893,450004027,17,F
936681894,450004027,20,F
936681895,450004027,18,F
936681896,450004027,18,F
936681897,450004027,23,F
936681898,450004027,19,F
936681899,450004027,21,F
936681900,450004027,18,F
936681901,450004027,22,F
936681902,450004027,19,F
936681903,450004027,19,F
936681904,450004027,19,F
936681905,450004027,24,F
936681906,450004027,19,F
936681907,450004027,22,F
936681908,450004027,23,F
936681909,450004027,18,F
936681910,450004027,21,F
936681911,450004027,21,F
936681912,450004027,19,F
936681913,450004027,20,F
936681914,450004027,21,F
936681915,450004027,19,F
936681916,450004027,20,F
936681917,450004027,20,F
936681918,450004027,24,F
936681919,450004027,22,F
936681920,450004027,19,F
936681921,450004027,20,F
936681922,450004027,19,F
936681923,450004027,19,F
936681924,450004027,24,F
936681925,450004027,23,F
936681926,450004027,19,F
936681927,450004027,21,F
936681928,450004027,32,F
936681929,450004027,19,F
936681930,450004027,24,F
936681931,450004027,19,F
936681932,450004027,23,F
936681933,450004027,19,F
936681934,450004027,19,F
936681935,450004027,23,F
936681936,450004027,18,F
936681937,450004027,21,F
936681938,450004027,19,F
936681939,450004027,19,F
936681940,450004027,24,F
936681941,450004027,18,F
936681942,450004027,18,F
936681943,450004027,21,F
936681944,450004027,20,F
936681945,450004027,29,F
936681946,450004027,19,F
936681947,450004027,19,F
936681948,450004027,21,F
936681949,450004027,26,F
936681950,450004027,18,F
936681951,450004027,23,F
936681952,450004027,19,F
936681953,450004027,19,F
936681954,450004027,21,F
936681955,450004027,18,F
936681956,450004027,22,F
936681957,450004027,19,F
936681958,450004027,22,F
936681959,450004027,22,F
936681960,450004027,21,F
936681961,450004027,22,F
936681962,450004027,18,F
936681963,450004027,18,F
936681964,450004027,26,F
936681965,450004027,21,F
936681966,450004027,19,F
936681967,450004027,21,F
936681968,450004027,19,F
936681969,450004027,24,F
936681970,450004027,24,F
936681971,450004027,18,F
936681972,450004027,35,F
936681973,450004027,22,F
936681974,450004027,19,F
936681975,450004027,20,F
936681976,450004027,19,F
936681978,450004027,19,F
936681979,450004027,39,F
936681980,450004027,20,F
936681981,450004027,18,F
936681982,450004027,19,F
936681983,450004027,18,F
936681984,450004027,19,F
936681985,450004027,20,F
936681986,450004027,41,F
936681987,450004027,21,F
936681988,450004027,24,F
936681989,450004027,20,F
936681990,450004027,20,F
936681991,450004027,19,F
936681992,450004027,20,F
936681993,450004027,19,F
936681994,450004027,18,F
936681995,450004027,19,F
936681996,450004027,18,F
936681997,450004027,18,F
936681998,450004027,19,F
936681999,450004027,19,F
936682000,450004027,18,F
936682001,450004027,27,F
936682002,450004027,18,F
936682003,450004027,19,F
936682004,450004027,19,F
936682005,450004027,18,F
936682006,450004027,22,F
936682007,450004027,19,F
936682008,450004027,23,F
936682009,450004027,21,F
936682010,450004027,18,F
936682011,450004027,20,F
936682012,450004027,19,F
936682013,450004027,19,F
936682014,450004027,19,F
936682015,450004027,21,F
936682016,450004027,19,F
936682017,450004027,23,F
936682018,450004027,19,F
936682019,450004027,21,F
936682020,450004027,19,F
936682021,450004027,24,F
936682022,450004027,22,F
936682023,450004027,19,F
936682024,450004027,21,F
936682025,450004027,19,F
936682026,450004027,18,F
936682027,450004027,18,F
936682028,450004027,19,F
936682029,450004027,19,F
936682030,450004027,19,F
936682031,450004027,19,F
936682032,450004027,19,F
936682033,450004027,22,F
936682034,450004027,20,F
936682035,450004027,18,F
936682036,450004027,19,F
936682037,450004027,24,F
936682038,450004027,18,F
936682039,450004027,23,F
936682040,450004027,19,F
936682041,450004027,19,F
936682042,450004027,22,F
936682043,450004027,19,F
936682044,450004027,23,F
936682045,450004027,19,F
936682046,450004027,18,F
936682047,450004027,24,F
936682048,450004027,19,F
936682049,450004027,19,F
936682050,450004027,19,F
936682051,450004027,19,F
936682052,450004027,20,F
936682053,450004027,45,F
936682054,450004027,19,F
936682055,450004027,19,F
936682056,450004027,21,F
936682057,450004027,18,F
936682058,450004027,18,F
936682059,450004027,24,F
936682060,450004027,18,F
936682061,450004027,19,F
936682062,450004027,18,F
936682063,450004027,21,F
936682064,450004027,23,F
936682065,450004027,19,F
936682066,450004027,22,F
936682067,450004027,20,F
936682068,450004027,22,F
936682069,450004027,23,F
936682070,450004027,18,F
936682071,450004027,19,F
936682072,450004027,38,F
936682073,450004027,20,F
936682074,450004027,21,F
936682075,450004027,18,F
936682076,450004027,19,F
936682077,450004027,24,F
936682078,450004027,18,F
936682079,450004027,18,F
936682080,450004027,19,F
936682081,450004027,19,F
936682082,450004027,19,F
936682083,450004027,19,F
936682084,450004027,21,F
936682085,450004027,21,F
936682086,450004027,22,F
936682087,450004027,22,F
936682088,450004027,19,F
936682089,450004027,19,F
936682090,450004027,19,F
936682091,450004027,22,F
936682092,450004027,18,F
936682093,450004027,24,F
936682094,450004027,24,F
936682095,450004027,18,F
936682096,450004027,27,F
936682097,450004027,18,F
936682098,450004027,19,F
936682099,450004027,20,F
936682100,450004027,18,F
936682101,450004027,19,F
936682102,450004027,29,F
936682103,450004027,18,F
936682104,450004027,21,F
936682105,450004027,19,F
936682106,450004027,19,F
936682107,450004027,21,F
936681422,450004028,20,M
936681421,450004028,20,M
936681445,450004028,22,M
936681420,450004028,19,M
936681419,450004028,18,M
936681418,450004028,17,M
936681656,450004028,20,F
936681655,450004028,19,F
936681654,450004028,21,F
936681653,450004028,22,F
936681639,450004028,22,F
936681640,450004028,24,F
936681641,450004028,22,F
936681642,450004028,19,F
936681652,450004028,20,F
936681651,450004028,18,F
936681650,450004028,19,F
936681643,450004028,19,F
936681644,450004028,19,F
936681645,450004028,18,F
936681646,450004028,19,F
936681647,450004028,19,F
936681648,450004028,18,F
936681649,450004028,22,F
936681621,450004028,18,F
936681622,450004028,59,F
936681623,450004028,19,F
936681624,450004028,23,F
936681625,450004028,20,F
936681626,450004028,19,F
936681627,450004028,19,F
936681628,450004028,18,F
936681629,450004028,19,F
936681630,450004028,18,F
936681631,450004028,18,F
936681632,450004028,20,F
936681601,450004028,18,F
936681602,450004028,20,F
936681603,450004028,19,F
936681604,450004028,20,F
936681605,450004028,18,F
936681606,450004028,24,F
936681607,450004028,18,F
936681608,450004028,20,F
936681609,450004028,19,F
936681610,450004028,18,F
936681459,450004028,19,M
936681458,450004028,22,M
936681457,450004028,22,M
936681456,450004028,18,M
936681455,450004028,19,M
936681454,450004028,19,M
936681453,450004028,21,M
936681452,450004028,19,M
936681611,450004028,20,F
936681612,450004028,20,F
936681613,450004028,19,F
936681614,450004028,18,F
936681451,450004028,19,M
936681450,450004028,19,M
936681449,450004028,19,M
936681448,450004028,18,M
936681447,450004028,19,M
936681446,450004028,19,M
936681615,450004028,20,F
936681616,450004028,18,F
936681617,450004028,19,F
936681618,450004028,18,F
936681619,450004028,21,F
936681620,450004028,19,F
936681460,450004028,28,M
936681461,450004028,20,M
936681462,450004028,22,M
936681463,450004028,19,M
936681464,450004028,18,M
936681465,450004028,18,M
936681466,450004028,23,M
936681666,450004028,24,F
936681665,450004028,22,F
936681664,450004028,22,F
936681663,450004028,19,F
936681662,450004028,19,F
936681661,450004028,18,F
936681660,450004028,19,F
936681659,450004028,20,F
936681658,450004028,19,F
936681657,450004028,21,F
936681467,450004028,22,M
936681468,450004028,19,M
936681469,450004028,22,M
936681470,450004028,19,M
936681471,450004028,19,M
936681472,450004028,18,M
936681473,450004028,20,M
936681633,450004028,19,F
936681634,450004028,23,F
936681635,450004028,18,F
936681636,450004028,19,F
936681600,450004028,19,F
936681599,450004028,18,F
936681598,450004028,19,F
936681597,450004028,19,F
936681596,450004028,20,F
936681595,450004028,21,F
936681594,450004028,20,F
936681637,450004028,18,F
936681638,450004028,19,F
936681474,450004028,18,M
936681475,450004028,19,M
936681476,450004028,19,M
936681477,450004028,20,M
936681478,450004028,18,M
936681479,450004028,22,M
936681480,450004028,18,M
936681481,450004028,24,M
936681482,450004028,21,M
936681483,450004028,24,M
936681484,450004028,17,F
936681485,450004028,24,F
936681486,450004028,18,F
936681487,450004028,19,F
936681488,450004028,19,F
936681489,450004028,22,F
936681490,450004028,22,F
936681491,450004028,19,F
936681492,450004028,18,F
936681493,450004028,19,F
936681494,450004028,19,F
936681495,450004028,19,F
936681496,450004028,20,F
936681497,450004028,27,F
936681498,450004028,22,F
936681499,450004028,19,F
936681500,450004028,21,F
936681501,450004028,19,F
936681502,450004028,19,F
936681503,450004028,19,F
936681504,450004028,19,F
936681505,450004028,19,F
936681506,450004028,19,F
936681507,450004028,21,F
936681508,450004028,19,F
936681509,450004028,18,F
936681510,450004028,18,F
936681511,450004028,23,F
936681512,450004028,19,F
936681513,450004028,18,F
936681514,450004028,43,F
936681515,450004028,18,F
936681516,450004028,20,F
936681517,450004028,22,F
936681518,450004028,24,F
936681519,450004028,19,F
936681520,450004028,19,F
936681521,450004028,21,F
936681522,450004028,21,F
936681523,450004028,20,F
936681524,450004028,19,F
936681525,450004028,22,F
936681526,450004028,19,F
936681593,450004028,21,F
936681592,450004028,21,F
936681591,450004028,20,F
936681590,450004028,24,F
936681589,450004028,19,F
936681588,450004028,24,F
936681587,450004028,21,F
936681586,450004028,23,F
936681585,450004028,18,F
936681584,450004028,18,F
936681583,450004028,19,F
936681582,450004028,23,F
936681581,450004028,19,F
936681580,450004028,20,F
936681579,450004028,18,F
936681578,450004028,22,F
936681577,450004028,19,F
936681576,450004028,20,F
936681575,450004028,24,F
936681574,450004028,19,F
936681573,450004028,20,F
936681572,450004028,29,F
936681571,450004028,19,F
936681570,450004028,20,F
936681569,450004028,21,F
936681568,450004028,24,F
936681567,450004028,24,F
936681566,450004028,20,F
936681527,450004028,32,F
936681528,450004028,24,F
936681529,450004028,21,F
936681530,450004028,18,F
936681531,450004028,32,F
936681532,450004028,20,F
936681533,450004028,18,F
936681534,450004028,19,F
936681535,450004028,44,F
936681536,450004028,18,F
936681537,450004028,21,F
936681538,450004028,20,F
936681539,450004028,18,F
936681540,450004028,19,F
936681541,450004028,21,F
936681444,450004028,19,M
936681443,450004028,19,M
936681442,450004028,23,M
936681441,450004028,22,M
936681440,450004028,20,M
936681439,450004028,23,M
936681438,450004028,20,M
936681437,450004028,19,M
936681436,450004028,19,M
936681435,450004028,19,M
936681434,450004028,21,M
936681433,450004028,19,M
936681432,450004028,24,M
936681431,450004028,19,M
936681430,450004028,22,M
936681429,450004028,19,M
936681428,450004028,19,M
936681427,450004028,20,M
936681565,450004028,19,F
936681564,450004028,23,F
936681563,450004028,20,F
936681562,450004028,20,F
936681561,450004028,19,F
936681560,450004028,20,F
936681559,450004028,19,F
936681558,450004028,19,F
936681557,450004028,21,F
936681556,450004028,19,F
936681555,450004028,18,F
936681554,450004028,18,F
936681553,450004028,24,F
936681552,450004028,24,F
936681551,450004028,24,F
936681550,450004028,23,F
936681549,450004028,20,F
936681548,450004028,20,F
936681547,450004028,19,F
936681546,450004028,18,F
936681545,450004028,23,F
936681544,450004028,18,F
936681543,450004028,20,F
936681542,450004028,22,F
936681426,450004028,19,M
936681425,450004028,21,M
936681424,450004028,19,M
936681423,450004028,19,M
941482382,450013384,32,M
941482383,450013384,47,M
941482384,450013384,25,M
941482385,450013384,24,M
941482386,450013384,27,M
941482387,450013384,35,M
941482388,450013384,31,M
941482389,450013384,51,M
941482390,450013384,32,M
941482391,450013384,22,M
941482392,450013384,35,M
941482393,450013384,21,M
941482394,450013384,36,M
941482395,450013384,31,M
941482396,450013384,31,M
941482397,450013384,47,M
941482398,450013384,28,M
941482399,450013384,47,M
941482400,450013384,21,M
941482401,450013384,46,M
941482402,450013384,47,M
941482403,450013384,76,M
941482404,450013384,67,M
941482405,450013384,67,M
941482379,450013384,17,M
941482380,450013384,43,M
941482381,450013384,58,M
941482408,450013385,40,F
941482409,450013385,40,F
941482410,450013385,53,F
941482411,450013385,37,F
941482412,450013385,31,F
941482413,450013385,43,F
941482414,450013385,39,F
941482415,450013385,27,F
941482429,450013385,79,F
941482428,450013385,25,F
941482427,450013385,27,F
941482426,450013385,52,F
941482425,450013385,34,F
941482424,450013385,30,F
941482416,450013385,20,F
941482417,450013385,57,F
941482418,450013385,36,F
941482419,450013385,47,F
941482420,450013385,30,F
941482421,450013385,41,F
941482422,450013385,44,F
941482423,450013385,24,F
941482406,450013385,16,F
941482407,450013385,37,F
936676795,450001497,19,M
936676796,450001497,21,M
936676797,450001497,19,M
936676798,450001497,18,M
936676824,450001497,19,M
936676825,450001497,22,M
936676826,450001497,18,M
936676827,450001497,19,M
936676828,450001497,18,M
936676829,450001497,21,M
936676830,450001497,23,M
936676831,450001497,17,F
936676832,450001497,17,F
936676833,450001497,19,F
936676834,450001497,19,F
936676835,450001497,19,F
936676836,450001497,18,F
936676837,450001497,24,F
936676838,450001497,18,F
936676867,450001497,19,F
936676866,450001497,21,F
936676865,450001497,20,F
936676864,450001497,19,F
936676863,450001497,24,F
936676862,450001497,18,F
936676861,450001497,19,F
936676781,450001497,19,M
936676780,450001497,20,M
936676779,450001497,18,M
936676778,450001497,19,M
936676777,450001497,18,M
936676776,450001497,23,M
936676775,450001497,23,M
936676774,450001497,19,M
936676773,450001497,19,M
936676772,450001497,19,M
936676771,450001497,23,M
936676770,450001497,23,M
936676769,450001497,21,M
936676768,450001497,22,M
936676799,450001497,22,M
936676800,450001497,18,M
936676801,450001497,19,M
936676802,450001497,19,M
936676803,450001497,18,M
936676804,450001497,18,M
936676805,450001497,19,M
936676806,450001497,20,M
936676807,450001497,18,M
936676808,450001497,24,M
936676809,450001497,19,M
936676927,450001497,19,F
936676928,450001497,20,F
936676929,450001497,19,F
936676930,450001497,21,F
936676931,450001497,23,F
936676785,450001497,23,M
936676786,450001497,23,M
936676787,450001497,19,M
936676926,450001497,22,F
936676925,450001497,24,F
936676924,450001497,23,F
936676923,450001497,24,F
936676922,450001497,21,F
936676921,450001497,19,F
936676920,450001497,19,F
936676919,450001497,22,F
936676918,450001497,23,F
936676840,450001497,19,F
936676841,450001497,19,F
936676842,450001497,24,F
936676843,450001497,21,F
936676844,450001497,24,F
936676845,450001497,19,F
936676846,450001497,23,F
936676847,450001497,20,F
936676848,450001497,23,F
936676849,450001497,20,F
936676911,450001497,18,F
936676912,450001497,18,F
936676913,450001497,19,F
936676914,450001497,20,F
936676915,450001497,19,F
936676916,450001497,20,F
936676839,450001497,19,F
936676917,450001497,20,F
936676764,450001497,20,M
936676763,450001497,21,M
